GEOID,TractFIPS,poverty_pct,low_edu_pct,single_parent_pct,renter_pct,overcrowded_pct,no_vehicle_pct,nonemployed_u65_pct,MHLTH_CrudePrev,OBESITY_CrudePrev,miss_poverty_pct,miss_low_edu_pct,miss_single_parent_pct,miss_renter_pct,miss_overcrowded_pct,miss_no_vehicle_pct,miss_nonemployed_u65_pct,miss_MHLTH_CrudePrev,miss_OBESITY_CrudePrev
01003990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
01015981901,,,,,,,,,,,True,True,True,True,True,True,True,True,True
01015981902,,,,,,,,,,,True,True,True,True,True,True,True,True,True
01015981903,,,,,,,,,,,True,True,True,True,True,True,True,True,True
01097003605,01097003605,,0.0,,,,,37.9,25.3,21.9,True,False,True,True,True,True,False,False,False
01097990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
01117980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
02185000300,02185000300,0.7,1.92806822395254,,,,,0.09999999999999432,11.2,32.5,False,False,True,True,True,True,False,False,False
02198000300,02198000300,0.0,0.0,,0.0,0.0,0.0,,10.6,31.0,False,False,True,False,False,False,True,False,False
04012980000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04013061017,04013061017,,29.485315498691477,,,,,100.0,22.3,28.9,True,False,True,True,True,True,False,False,False
04013113400,04013113400,,43.214285714285715,,,,,100.0,21.6,31.3,True,False,True,True,True,True,False,False,False
04013113802,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04013723303,,0.0,0.0,0.0,0.0,73.68421052631578,0.0,0.0,,,False,False,False,False,False,False,False,True,True
04013980100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04013980400,,84.6,0.0,,,,,53.8,,,False,False,True,True,True,True,False,True,True
04013980500,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04013980600,,4.8,4.56490727532097,6.267029972752043,2.2498060512024827,0.0,0.0,17.5,,,False,False,False,False,False,False,False,True,True
04013980700,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04019004113,04019004113,,32.49547556806757,,,,,100.0,16.4,32.5,True,False,True,True,True,True,False,False,False
04027980003,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04027980004,,,,,,,,,,,True,True,True,True,True,True,True,True,True
04027980005,04027980005,,75.33039647577093,,,,,100.0,18.5,38.8,True,False,True,True,True,True,False,False,False
05091980000,,0.0,46.15384615384615,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,True,True
05119003205,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06001981900,,0.0,0.0,0.0,100.0,14.814814814814813,14.814814814814813,6.900000000000006,,,False,False,False,False,False,False,False,True,True
06001990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06013990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06015990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06017990000,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06019007901,06019007901,,38.37664649341402,,,,,100.0,15.8,42.7,True,False,True,True,True,True,False,False,False
06023990100,,,,,,,,,,,True,True,True,True,True,True,True,True,True
06025010101,06025010101,80.0,43.91891891891892,,66.66666666666666,0.0,40.0,100.0,25.8,49.6,False,False,True,False,False,False,False,False,False
06029004302,06029004302,,42.39059438275637,,,,,100.0,18.9,38.6,True,False,True,True,True,True,False,False,False
06029004601,06029004601,,41.65124028137727,,,,,100.0,18.3,38.7,True,False,True,True,True,True,False,False,False
06029004603,06029004603,,42.396088019559905,,,,,100.0,17.0,34.5,True,False,True,True,True,True,False,False,False
06029006002,06029006002,,34.82436189032095,,,,,100.0,14.9,35.2,True,False,True,True,True,True,False,False,False
06031001602,06031001602,,41.89483886600436,,,,,100.0,18.2,43.0,True,False,True,True,True,True,False,False,False
06031981800,06031981800,,45.52457813646368,,,,,100.0,17.7,43.0,True,False,True,True,True,True,False,False,False
06037137000,,6.5,5.2444687243922425,5.122324159021407,19.860627177700348,0.9872241579558653,1.335656213704994,32.2,,,False,False,False,False,False,False,False,True,True
